title,artist
Unholy,Sam Smith & Kim Petras
I'm Good (Blue),David Guetta & Bebe Rexha
Thank God,Kane Brown & Katelyn Brown
wait in the truck,HARDY & Lainey Wilson
Everywhere,Fleetwood Mac
Son Of A Sinner,Jelly Roll
A Thousand Years,Christina Perri
You Proof,Morgan Wallen
Unstoppable,Sia
I Ain't Worried,OneRepublic
Left and Right,Charlie Puth & Jung Kook
CUFF IT,Beyoncé
Wasted On You,Morgan Wallen
She Had Me At Heads Carolina,Cole Swindell
Fall In Love,Bailey Zimmerman
Under the Influence,Chris Brown
The Kind of Love We Make,Luke Combs
Lose Yourself,Eminem
Life Is a Highway,Rascal Flatts
As It Was,Harry Styles
Shivers,Ed Sheeran
Make It With You,Bread
Shallow,Lady Gaga & Bradley Cooper
Super Freaky Girl,Nicki Minaj
Celestial,Ed Sheeran
Fingers Crossed,Lauren Spencer Smith
Love Me Like You Do,Ellie Goulding
About Damn Time,Lizzo
Sunroof,Nicky Youre & Dazy
Eagle (feat. KB),Transformation Worship
KICK BACK,Kenshi Yonezu
Victoria’s Secret,Jax
Hold Me Closer,Elton John & Britney Spears
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
the mockingbird & THE CROW,HARDY
Rock and a Hard Place,Bailey Zimmerman
Bust Your Windows,Jazmine Sullivan
Something in the Orange (Z&E's Version),Zach Bryan
Earned It,The Weeknd
Poland,Lil Yachty
You'll Be In My Heart,Phil Collins
It Will Rain,Bruno Mars
Soul,Lee Brice
TRUCK BED,HARDY
Next Thing You Know,Jordan Davis
Somewhere Over the Rainbow,Israel Kamakawiwo'ole
What My World Spins Around,Jordan Davis
Tennessee Orange,Megan Moroney
This Is Halloween,The Citizens of Halloween
Something in the Orange,Zach Bryan
How Do I Say Goodbye,Dean Lewis
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
Bad Habit,Steve Lacy
2 Be Loved (Am I Ready),Lizzo
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
Always Remember Us This Way,Lady Gaga
Way of the Triune God (Hallelujah Version),Tyler Childers
Neon You,Don Louis
here lies country music,HARDY
Numb,Marshmello & Khalid
Never Leave,Bailey Zimmerman
Forever,"Drake, Kanye West, Lil Wayne & Eminem"
Bones,Imagine Dragons
Don’t Come Lookin’,Jackson Dean
Forget Me,Lewis Capaldi
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Running Up That Hill (A Deal with God),Kate Bush
Joy of My Life,Chris Stapleton
All the Small Things,blink-182
'Til You Can't,Cody Johnson
Late Night Talking,Harry Styles
Tití Me Preguntó,Bad Bunny
World's Smallest Violin,AJR
Tennessee Whiskey,Chris Stapleton
Gangsta's Paradise (feat. L.V.),Coolio
"1,2,3 Eoi!",MAMAMOO
Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers"
No Se Va (En Vivo),Grupo Frontera
down home,Jimmie Allen
Everything I Own,Bread
Half Of Me (feat. Riley Green),Thomas Rhett
I'm Good (Blue),David Guetta & Bebe Rexha
CUFF IT,Beyoncé
Starved,Zach Bryan
No Body,Blake Shelton
Enough,charlieonnafriday
Perfectly Loved (feat. TobyMac),Rachael Lampa
Build a Boat,Colton Dixon
golden hour,JVKE
Baby I'm-A Want You,Bread
She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott
Hold My Hand,Lady Gaga
5 Foot 9,Tyler Hubbard
How Far I'll Go,Auli'i Cravalho
Love Me Like I Am,for KING & COUNTRY & Jordin Sparks
"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)",Green Day
Betty (Get Money),Yung Gravy
Boom Clap,Charli XCX
One Way or Another (Hocus Pocus 2 Version),"Bette Midler, Sarah Jessica Parker & Kathy Najimy"
If,Bread
Las 12,Ana Mena & Belinda
Despechá,Rosalía
Quevedo: Bzrp music sessions Vol. 52,Bizarrap & Quevedo
Mariposas,Aitana & Sangiovanni
I ain't worried,OneRepublic
Don't you worry,The Black Eyed Peas & David Guetta & Shakira
Hold me closer,Britney Spears & Elton John
Envolver,Anitta
As it was,Harry Styles
Carretera y manta,Pablo Alborán
Dile a los demás,Dani Fernández
Quieres,Aitana & Emilia & PtaZeta
Hay que vivir el momento,Manuel Carrasco
I'm good (Blue),Bebe Rexha & David Guetta
Te felicito,Rauw Alejandro & Shakira
Maybe you're the problem,Ava Max
Volverá (2021),Dani Martín
Late night talking,Harry Styles
Quiero decirte,Abraham Mateo & Ana Mena
Latidos,Polo Nandez & Zeper
Provenza,Karol G
About damn time,Lizzo
Amapolas,Leo Rizzi
TV,Sebastián Yatra
Junio,Maluma
Infinity,Jaymes Young
Quién diría,DePol
Solo x ti,Pol Granch
El bueno acaba mal,Blas Cantó
Bonita,Samuraï
Bam bam,Camila Cabello & Ed Sheeran
París,Morat & Duki
Agua salada,Marc Seguí
Colorín colorado,Justin Quiles
El día menos pensado,Beret
Pegao,Camilo
SloMo,Chanel
Levantaremos al sol,Álvaro de Luna
Los niños del parque,Walls
Camaleón,Belén Aguilera
